"","x"
"PDGFA",0.0422698995733674
"PDLIM4",0.0460705421762846
"PHEX",0.0394105942348992
"PHLDA1",0.0449045756472411
"PHLDA2",0.0397787346346855
"PHLPP1",0.0430609051775996
"PIANP",0.0320050135364852
"PIK3AP1",0.0448270019482235
"PIK3CB",0.0367804528572157
"PIM3",0.0369655608973809
"PIP5K1B",0.0461588372259821
"PIWIL2",0.0452636063973942
"PLA2G4A",0.0417617091796287
"PLA2G4C",0.038966010631717
"PLAGL2",0.0450957820406847
"PLB1",0.0293016901084483
"PLCG2",0.0410141098507542
"PLD1",0.0417477970222323
"PLEKHG4",0.0441755131240589
"PLK2",0.0382719111218636
"PLS3",0.0476366855617195
"PMCH",0.0472993269800761
"PMEPA1",0.0299531531091265
"PON2",0.0427105884480941
"PON3",0.0430450372689442
"POU2AF1",0.0441518915630479
"POU3F1",0.0429722444104021
"PPARG",0.0464708611144997
"PPM1L",0.0421772909743424
"PPP1R10",0.0380387793117108
"PPP1R15A",0.0368341099958957
"PPP1R16B",0.0405094926271507
"PPP1R26",0.0417972705458456
"PRKCE",0.0364167814498628
"PROS1",0.0461107388804847
"PRSS23",0.0430994698797395
"PTGS1",0.0456770281748586
"PTGS2",0.0443383504592589
"PTN",0.0393734721035554
"PTPN14",0.0440757580245295
"PTPN3",0.0485605738112602
"PTPRU",0.0437734662682333
"PVR",0.0417054567246282
"PXDC1",0.0288520325531445
"QPCT",0.0327732411219535
"QSOX1",0.0420524187160502
"QSOX2",0.0359490899219857
"RAB30",0.0232103549448301
"RAB32",0.0410410538363919
"RAB38",0.0449942910898617
"RAB3GAP1",0.0414203893430882
"RAB6B",0.0463751927657701
"RABGEF1",0.0408178430014682
"RAI14",0.0438710864290949
"RAMP1",0.0351299003366914
"RASD2",0.0399951302342657
"RASGEF1B",0.0383577671506485
"RBPJL",0.0299709435010641
"RCAN1",0.0445558547209049
"RDH10",0.0471051442289671
"REEP2",0.0434998962771371
"REL",0.03089728841472
"RFX2",0.0442230770495156
"RGCC",0.045111846940398
"RGL1",0.0460939260107241
"RGPD8",0.0346874933208839
"RGS1",0.0257913013460108
"RGS13",0.0239276360578172
"RGS16",0.0423386615295654
"RGS2",0.0411044261278575
"RGS3",0.0426607916357953
"RGS6",0.0453693952265963
"RHOB",0.0473578965791774
"RIN1",0.0371431196341662
"RNASEL",0.0427687920668738
"RNF19A",0.0438225613244778
"RNF19B",0.04728833423312
"RNF32",0.0364231397081022
"RRAD",0.048992510986077
"RRM2B",0.0439182294008822
"RUNX2",0.0468516463706267
"RUNX3",0.0293920043508698
"RYBP",0.0480411661038324
"SALL4",0.0416171084514283
"SAMD10",0.0397917863707848
"SASH1",0.0331428241899153
"SAV1",0.0420414711731797
"SCML1",0.0362292185669741
"SCN1B",0.0304357293927296
"SCPEP1",0.0340233380307202
