,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
MASP2,0.843190377,-0.670525738,-0.446914851,-0.136096954,-0.260151832,-0.137764073,0.816599725,-0.221593248,-0.171914479,-2.995731917,-0.635441872,2.403191571,-0.115286867,0.23348899,0.163686154,-0.06439202,0.136358117,1.108094448,-0.776100223,0.104486711,0.822817979,C1,MASP2,ENSG00000009724.16
FAM76A,-0.350815043,0.542101175,0.917633764,-0.058239844,-0.301300919,-0.041533415,-0.469087049,0.630939968,-0.187289937,-1.529091033,-1.578309159,1.529581053,-1.164667408,0.072462767,1.157638818,-0.989480394,0.644794689,1.267198818,-1.757530543,0.264327553,1.400666138,C4,FAM76A,ENSG00000009780.15
GIPR,-0.115212107,-0.665777954,-0.494612285,0.259821911,-1.311256322,-1.12355672,0.327926635,-0.760383426,-0.879169323,-1.704566907,-1.467979277,-0.366733917,1.033682595,1.400166889,-0.144225439,1.433737992,0.757359801,0.849509011,1.383431771,0.692054164,0.89578291,C3,GIPR,ENSG00000010310.8
IDS,-0.792001221,-0.600583197,0.882660561,-1.134495007,-0.462763901,0.739841774,-0.986734028,-0.488140643,0.569015839,-2.409972156,-1.491031595,-0.181255205,0.362985607,0.495577064,1.079795671,0.204777919,0.7757018,1.648660473,0.314424399,0.239228448,1.234307398,C5,IDS,ENSG00000010404.17
PRSS3,2.29158246,-0.938655644,-0.938655644,2.062332852,0.499262713,-0.938655644,0.001804164,0.634962009,-0.938655644,-0.938655644,-0.938655644,0.034474445,-0.938655644,-0.070415231,1.432414229,-0.938655644,0.057505198,0.79834503,0.045946513,0.025973048,-0.304942277,C1,PRSS3,ENSG00000010438.16
CD4,-0.290022355,-0.694005682,-0.937364696,-0.560479982,-0.605984968,-0.39149754,-0.258635777,-0.601018976,-0.276212144,-1.606710093,-1.617828853,-1.254145434,1.097746041,0.445038799,0.514593583,1.054198176,1.106173389,1.079867016,1.797283522,1.153723369,0.845282603,C3,CD4,ENSG00000010610.9
LRRC23,0.626961861,-0.09210875,-0.373249993,0.166897247,-0.292459457,-0.764597639,0.620870562,-0.129226728,-0.952602605,-2.561668027,-2.277885485,-0.607764736,0.681894256,0.794792708,0.679581207,1.007384179,1.048677044,0.932017448,0.598452738,0.321111189,0.572922981,C1,LRRC23,ENSG00000010626.14
MRC2,-0.576708531,-0.14451665,0.105263076,-1.711270531,-0.976960796,-0.962878593,-0.933071281,-0.505162381,-0.14662704,-1.257560517,-1.145215499,-0.811715796,1.31098892,1.28901654,0.636966853,1.130322793,0.775797616,0.538488522,1.612423772,0.894803626,0.877615896,C3,MRC2,ENSG00000011028.13
NME1.NME2,0.444683357,1.437070257,0.827788456,0.48428936,1.315025691,1.022499284,0.252424975,0.536336275,0.215504452,-1.557852912,-1.648685843,-2.083110895,0.935915808,0.70146669,-1.104925836,0.008725567,0.069108407,-0.590151632,-0.151589083,-0.021428058,-1.09309432,C4,NME1.NME2,#N/A
PLAUR,-0.162912973,-0.717432884,-0.388868213,-0.012563138,-0.711113089,-0.899352645,-0.150335117,-0.442049157,-0.239950389,-1.97158412,-1.596596705,-0.653802793,1.564689244,0.743639374,0.175606696,1.757638917,0.409284518,0.594437106,1.979477131,0.233464961,0.488323275,C3,PLAUR,ENSG00000011422.11
CEP68,0.643710647,-0.812172083,-1.621398117,0.703955691,-1.042506199,-1.503060182,1.194672063,-0.604100799,-1.506854111,-1.152493772,-0.73781509,1.15183168,1.379249168,0.782798378,-0.291986325,1.053617808,0.142369919,0.285268244,0.739623031,0.352814164,0.842475886,C1,CEP68,ENSG00000011523.13
ZBTB32,-0.027421033,0.605240396,0.275444032,-0.107902581,0.271475504,0.508385286,-0.070917308,0.328607885,0.501569223,-2.345962642,-2.437430261,-2.098202986,0.355114444,0.678407848,0.605240127,0.262136788,0.914531749,0.197491863,0.581216536,0.864860655,0.138114473,C4,ZBTB32,ENSG00000011590.13
TMEM159,0.188649294,-1.053981947,-0.684586893,0.672304486,-0.292080855,-1.962918358,0.757864666,-0.153662319,-0.485691219,-2.253073049,-0.784509312,-0.832928428,0.677111335,0.73380937,-0.211136596,1.261276251,0.756172397,0.704878977,0.703613672,1.01170049,1.247188038,C1,TMEM159,ENSG00000011638.10
CD22,-0.819389102,-0.650733371,-0.914656776,-0.788220517,-0.755786674,-0.85385061,-0.868319649,-0.620926648,-0.676702935,-1.027376779,-0.814654947,0.198102208,1.015457498,-0.165785804,0.134629737,1.258981407,1.243309582,0.594780781,2.430076429,1.322532966,0.758533205,C3,CD22,ENSG00000012124.16
SEMA3B,-0.732685622,-0.783596255,-0.855594748,-0.669508326,-0.432910812,-0.684783013,-0.76843141,-0.656013768,-0.66159897,-0.452770491,-1.363768156,-0.893640322,0.767532161,0.755083224,1.022056515,0.178405866,0.256693444,0.479400696,1.591006075,1.99008412,1.915039792,C3,SEMA3B,ENSG00000012171.19
PRICKLE3,0.246118336,-0.264530831,-0.8320016,0.669792939,-0.025562397,-0.786985216,0.132557153,0.484202914,-0.351805873,-2.227420803,-2.227357953,-1.421832885,1.22559807,0.678702873,0.435497646,1.038425223,0.854065353,0.242041802,1.122058763,0.539295008,0.469141479,C1,PRICKLE3,ENSG00000012211.12
EXTL3,-0.779897526,0.826978083,0.277869981,-1.316452216,0.612766188,0.928164021,-0.480388827,1.14463196,0.319042688,-2.480545909,-1.702957975,-0.748875449,-0.20793628,0.306589696,0.889498046,-0.106005783,1.068469339,-0.001687636,0.591002908,1.325339615,-0.465604924,C4,EXTL3,ENSG00000012232.8
ALOX5,1.103935435,0.391330922,-0.405140167,1.36604243,1.34359362,-0.030419335,1.63635925,1.983564272,-0.285602594,-0.010422378,-0.728684359,0.215478037,-1.056583203,-0.642491741,-1.19315527,0.396958997,0.077321219,-1.205148359,-1.038956848,-0.830453081,-1.087526848,C2,ALOX5,ENSG00000012779.10
CALCOCO1,-0.105831133,-2.131613483,0.371035675,0.141625661,-2.422549551,0.027328304,0.789757131,-1.492500355,0.493667959,0.224784013,0.642786656,1.44574357,-0.696745547,-0.180191422,0.126351425,0.271935478,-0.014396747,1.358557824,-0.239580301,0.312815414,1.077019428,C1,CALCOCO1,ENSG00000012822.15
MAP4K5,0.683449315,1.304503629,1.129501348,0.427727636,0.967810788,0.805455298,0.181847398,1.066021781,0.765145099,-1.634063537,0.663757707,1.552647952,-1.095087746,-1.141741344,-0.455260916,-1.077092907,-0.486356219,-0.775735057,-1.069564022,-0.820530143,-0.99243606,C2,MAP4K5,ENSG00000012983.11
